utterance,coded_word,spatial_or_not,session_id,line,is_candidate
tell me about what you did in the tinkering lab.,tell,0,118,13,False
tell me about what you did in the tinkering lab.,me,0,118,13,False
tell me about what you did in the tinkering lab.,about,0,118,13,True
tell me about what you did in the tinkering lab.,what,0,118,13,False
tell me about what you did in the tinkering lab.,you,0,118,13,False
tell me about what you did in the tinkering lab.,did,0,118,13,False
tell me about what you did in the tinkering lab.,in,1,118,13,True
tell me about what you did in the tinkering lab.,the,0,118,13,False
tell me about what you did in the tinkering lab.,tinkering,0,118,13,False
tell me about what you did in the tinkering lab.,lab,0,118,13,False
well I made it I made baby xxx wheel thing.,well,0,118,14,False
well I made it I made baby xxx wheel thing.,i,0,118,14,False
well I made it I made baby xxx wheel thing.,made,0,118,14,False
well I made it I made baby xxx wheel thing.,it,0,118,14,False
well I made it I made baby xxx wheel thing.,i,0,118,14,False
well I made it I made baby xxx wheel thing.,made,0,118,14,False
well I made it I made baby xxx wheel thing.,baby,0,118,14,False
well I made it I made baby xxx wheel thing.,xxx,0,118,14,False
well I made it I made baby xxx wheel thing.,wheel,0,118,14,False
well I made it I made baby xxx wheel thing.,thing,0,118,14,False
um other kids can also use it.,um,0,118,15,False
um other kids can also use it.,other,0,118,15,False
um other kids can also use it.,kids,0,118,15,False
um other kids can also use it.,can,0,118,15,False
um other kids can also use it.,also,0,118,15,False
um other kids can also use it.,use,0,118,15,False
um other kids can also use it.,it,0,118,15,False
but it's mostly for babies.,but,0,118,16,False
but it's mostly for babies.,it's,0,118,16,False
but it's mostly for babies.,mostly,0,118,16,False
but it's mostly for babies.,for,0,118,16,False
but it's mostly for babies.,babies,0,118,16,False
because it's small and steady and um it's not that much exploring.,because,0,118,17,False
because it's small and steady and um it's not that much exploring.,it's,0,118,17,False
because it's small and steady and um it's not that much exploring.,small,1,118,17,True
because it's small and steady and um it's not that much exploring.,and,0,118,17,False
because it's small and steady and um it's not that much exploring.,steady,0,118,17,False
because it's small and steady and um it's not that much exploring.,and,0,118,17,False
because it's small and steady and um it's not that much exploring.,um,0,118,17,False
because it's small and steady and um it's not that much exploring.,it's,0,118,17,False
because it's small and steady and um it's not that much exploring.,not,0,118,17,False
because it's small and steady and um it's not that much exploring.,that,0,118,17,False
because it's small and steady and um it's not that much exploring.,much,0,118,17,True
because it's small and steady and um it's not that much exploring.,exploring,0,118,17,False
cool.,cool,0,118,19,False
bless you.,bless,0,118,21,False
bless you.,you,0,118,21,False
thank you.,thank,0,118,22,False
thank you.,you,0,118,22,False
so in the the goal was to make like a monster playground.,so,0,118,23,False
so in the the goal was to make like a monster playground.,in,0,118,23,True
so in the the goal was to make like a monster playground.,the,0,118,23,False
so in the the goal was to make like a monster playground.,the,0,118,23,False
so in the the goal was to make like a monster playground.,goal,0,118,23,True
so in the the goal was to make like a monster playground.,was,0,118,23,False
so in the the goal was to make like a monster playground.,to,0,118,23,True
so in the the goal was to make like a monster playground.,make,0,118,23,False
so in the the goal was to make like a monster playground.,like,0,118,23,False
so in the the goal was to make like a monster playground.,a,0,118,23,False
so in the the goal was to make like a monster playground.,monster,0,118,23,False
so in the the goal was to make like a monster playground.,playground,0,118,23,False
yeah.,yeah,0,118,24,False
that's what everyone was trying to do?,that's,0,118,25,False
that's what everyone was trying to do?,what,0,118,25,False
that's what everyone was trying to do?,everyone,0,118,25,False
that's what everyone was trying to do?,was,0,118,25,False
that's what everyone was trying to do?,trying,0,118,25,False
that's what everyone was trying to do?,to,0,118,25,True
that's what everyone was trying to do?,do,0,118,25,False
trying to make things for monsters ?,trying,0,118,26,False
trying to make things for monsters ?,to,0,118,26,True
trying to make things for monsters ?,make,0,118,26,False
trying to make things for monsters ?,things,0,118,26,False
trying to make things for monsters ?,for,0,118,26,False
trying to make things for monsters ?,monsters,0,118,26,False
yeah.,yeah,0,118,27,False
it like it had cup thingies.,it,0,118,28,False
it like it had cup thingies.,like,0,118,28,False
it like it had cup thingies.,it,0,118,28,False
it like it had cup thingies.,had,0,118,28,False
it like it had cup thingies.,cup,0,118,28,False
it like it had cup thingies.,thingies,0,118,28,False
and it had like this cup seat.,and,0,118,29,False
and it had like this cup seat.,it,0,118,29,False
and it had like this cup seat.,had,0,118,29,False
and it had like this cup seat.,like,0,118,29,False
and it had like this cup seat.,this,0,118,29,False
and it had like this cup seat.,cup,0,118,29,False
and it had like this cup seat.,seat,0,118,29,False
and then you pull the string and it went close to the top.,and,0,118,31,False
and then you pull the string and it went close to the top.,then,0,118,31,False
and then you pull the string and it went close to the top.,you,0,118,31,False
and then you pull the string and it went close to the top.,pull,0,118,31,True
and then you pull the string and it went close to the top.,the,0,118,31,False
and then you pull the string and it went close to the top.,string,0,118,31,False
and then you pull the string and it went close to the top.,and,0,118,31,False
and then you pull the string and it went close to the top.,it,0,118,31,False
and then you pull the string and it went close to the top.,went,0,118,31,False
and then you pull the string and it went close to the top.,close,1,118,31,True
and then you pull the string and it went close to the top.,to,1,118,31,True
and then you pull the string and it went close to the top.,the,0,118,31,False
and then you pull the string and it went close to the top.,top,1,118,31,True
and you pull it back.,and,0,118,32,False
and you pull it back.,you,0,118,32,False
and you pull it back.,pull,0,118,32,True
and you pull it back.,it,0,118,32,False
and you pull it back.,back,1,118,32,True
and um it and you just did that over and over again.,and,0,118,33,False
and um it and you just did that over and over again.,um,0,118,33,False
and um it and you just did that over and over again.,it,0,118,33,False
and um it and you just did that over and over again.,and,0,118,33,False
and um it and you just did that over and over again.,you,0,118,33,False
and um it and you just did that over and over again.,just,0,118,33,False
and um it and you just did that over and over again.,did,0,118,33,False
and um it and you just did that over and over again.,that,0,118,33,False
and um it and you just did that over and over again.,over,0,118,33,True
and um it and you just did that over and over again.,and,0,118,33,False
and um it and you just did that over and over again.,over,0,118,33,True
and um it and you just did that over and over again.,again,0,118,33,False
and it was cool.,and,0,118,34,False
and it was cool.,it,0,118,34,False
and it was cool.,was,0,118,34,False
and it was cool.,cool,0,118,34,False
cool.,cool,0,118,35,False
and .,and,0,118,36,False
how did you .,how,0,118,37,False
how did you .,did,0,118,37,False
how did you .,you,0,118,37,False
okay.,okay,0,118,38,False
um well my dad well daddy um.,um,0,118,39,False
um well my dad well daddy um.,well,0,118,39,False
um well my dad well daddy um.,my,0,118,39,False
um well my dad well daddy um.,dad,0,118,39,False
um well my dad well daddy um.,well,0,118,39,False
um well my dad well daddy um.,daddy,0,118,39,False
um well my dad well daddy um.,um,0,118,39,False
